ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario,svi_log_dev_adf_stat,svi_log_dev_adf_pvalor,svi_log_dev_estacionario,svi_exp_dev_adf_stat,svi_exp_dev_adf_pvalor,svi_exp_dev_estacionario
SANB11,-1.4086,0.5782,False,-9.8699,0.0,True,-5.0029,0.0,True,-4.9432,0.0,True
SANB3,-1.5986,0.4843,False,-10.5101,0.0,True,-7.493,0.0,True,-4.7351,0.0001,True
SANB4,-1.2077,0.6703,False,-7.7539,0.0,True,-5.1735,0.0,True,-7.8525,0.0,True
SAPR11,-3.9502,0.0017,True,-12.6966,0.0,True,-6.8575,0.0,True,-6.721,0.0,True
SAPR3,-2.1992,0.2065,False,-10.0142,0.0,True,-6.2373,0.0,True,-7.7219,0.0,True
SAPR4,-4.8159,0.0001,True,-11.3154,0.0,True,-10.4891,0.0,True,-6.6524,0.0,True
SBFG3,-5.1872,0.0,True,-9.0699,0.0,True,-11.2261,0.0,True,-13.5468,0.0,True
SBSP3,-4.8912,0.0,True,-10.0433,0.0,True,-8.6645,0.0,True,-11.2981,0.0,True
SCAR3,-6.2913,0.0,True,-6.381,0.0,True,-6.0251,0.0,True,-8.833,0.0,True
SEER3,-5.4161,0.0,True,-9.4998,0.0,True,-14.7561,0.0,True,-8.0268,0.0,True
SEQL3,-1.7675,0.3967,False,-7.1564,0.0,True,-11.4823,0.0,True,-10.1895,0.0,True
SHOW3,-2.737,0.0679,False,-10.7493,0.0,True,-4.8806,0.0,True,-7.1599,0.0,True
SHUL4,-3.8978,0.0021,True,-6.9205,0.0,True,-5.1559,0.0,True,-4.4396,0.0003,True
SIMH3,-2.6458,0.0839,False,-7.1767,0.0,True,-6.2761,0.0,True,-10.0909,0.0,True
SLCE3,-3.9132,0.0019,True,-12.3779,0.0,True,-9.4501,0.0,True,-9.259,0.0,True
SMTO3,-3.4609,0.0091,True,-12.8351,0.0,True,-7.0544,0.0,True,-11.4656,0.0,True
SUZB3,-7.6674,0.0,True,-10.676,0.0,True,-8.7149,0.0,True,-7.9335,0.0,True
SYNE3,-7.7602,0.0,True,-9.4348,0.0,True,-5.9139,0.0,True,-8.7241,0.0,True
TAEE11,-2.885,0.0471,True,-6.0386,0.0,True,-9.3012,0.0,True,-9.5642,0.0,True
TAEE3,-2.6334,0.0863,False,-8.6387,0.0,True,-7.0881,0.0,True,-11.3271,0.0,True
TAEE4,-3.2813,0.0157,True,-9.47,0.0,True,-9.7077,0.0,True,-9.581,0.0,True
TASA3,-2.4602,0.1254,False,-8.4468,0.0,True,-11.5874,0.0,True,-11.4309,0.0,True
TASA4,-1.6697,0.4468,False,-8.7099,0.0,True,-7.9001,0.0,True,-7.4849,0.0,True
TCSA3,-2.8488,0.0516,False,-7.8146,0.0,True,-12.554,0.0,True,-5.0398,0.0,True
TECN3,-1.5613,0.503,False,-12.7585,0.0,True,-5.5565,0.0,True,-3.6775,0.0044,True
TELB3,-4.4686,0.0002,True,-14.9584,0.0,True,-6.7035,0.0,True,-5.6013,0.0,True
TELB4,-3.9407,0.0018,True,-6.4016,0.0,True,-8.7019,0.0,True,-4.9351,0.0,True
TEND3,-4.384,0.0003,True,-9.2606,0.0,True,-7.5671,0.0,True,-4.0768,0.0011,True
TFCO4,-14.0864,0.0,True,-6.7295,0.0,True,-7.9693,0.0,True,-14.0068,0.0,True
TGMA3,-2.943,0.0406,True,-8.7241,0.0,True,-7.5954,0.0,True,-12.9586,0.0,True
TIMS3,-6.2132,0.0,True,-7.934,0.0,True,-7.975,0.0,True,-7.5762,0.0,True
TKNO4,-16.3401,0.0,True,-8.5907,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
TOTS3,-4.8931,0.0,True,-8.844,0.0,True,-7.206,0.0,True,-7.0556,0.0,True
TPIS3,-3.2869,0.0155,True,-6.8332,0.0,True,-5.9742,0.0,True,-10.6515,0.0,True
TRIS3,-1.6952,0.4336,False,-8.1047,0.0,True,-5.5114,0.0,True,-12.4968,0.0,True
TUPY3,-5.3665,0.0,True,-11.2118,0.0,True,-7.6056,0.0,True,-7.287,0.0,True
UCAS3,-4.1012,0.001,True,-10.613,0.0,True,-13.6222,0.0,True,-14.6609,0.0,True
UGPA3,-4.4931,0.0002,True,-9.1449,0.0,True,-7.7113,0.0,True,-7.8713,0.0,True
UNIP3,-4.0766,0.0011,True,-7.7443,0.0,True,-7.2977,0.0,True,-10.3313,0.0,True
UNIP5,-12.4232,0.0,True,-7.4695,0.0,True,-11.6183,0.0,True,-12.8657,0.0,True
UNIP6,-3.4193,0.0103,True,-9.8339,0.0,True,-7.476,0.0,True,-9.101,0.0,True
USIM3,-2.0051,0.2843,False,-6.5003,0.0,True,-1.8769,0.343,False,-13.1875,0.0,True
USIM5,-2.5889,0.0953,False,-7.6706,0.0,True,-7.1677,0.0,True,-9.2659,0.0,True
VALE3,-4.3208,0.0004,True,-10.8251,0.0,True,-9.8072,0.0,True,-9.7887,0.0,True
VAMO3,-1.5228,0.5222,False,-7.3156,0.0,True,-8.6808,0.0,True,-11.9786,0.0,True
VBBR3,-2.5816,0.0969,False,-11.432,0.0,True,-7.3379,0.0,True,-5.609,0.0,True
VIVA3,-9.095,0.0,True,-8.4959,0.0,True,-7.8804,0.0,True,-9.8823,0.0,True
