ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4
PLPL3,103,-0.06163873690373563,0.4961859426688854,21.35922330097087,0.3771248061470922,0.2957516385642413,-0.06163873690373563,0.4961859426688854,21.35922330097087,0.005663651826238422,0.9953931032713599,0,-0.06980847461519071,-0.06170253618725543,0.9958093520575325,0.9959126080673647
PMAM3,103,0.071752577289204,0.21661974811831877,63.10679611650486,0.7090491768301018,0.4464556047126084,0.071752577289204,0.21661974811831877,63.10679611650486,1.1103980893655632e-8,0.9999999142651296,0,0.12070693856012774,0.09898746603545892,0.9477157418812469,0.9507982284363776
PNVL3,103,-0.2140782305811951,0.23614542597340227,35.92233009708738,0.7624456941197036,0.6188948341079384,-0.2140782305811951,0.23614542597340227,35.92233009708738,0.006848842242586529,0.9890695977718649,0,0.11815658461302181,0.22023696649402213,0.9675296384458473,0.9669288912782077
POMO3,103,-0.33516548046057093,0.15578772484079836,22.330097087378643,0.23657041890442188,0.36168886414627,-0.33516548046057093,0.15578772484079836,22.330097087378643,8.405222360894826e-9,0.9999986508930819,0,0.1912097850466221,0.2527146568545745,0.734640838560829,0.6980669563891042
POMO4,103,0.6195788832256082,0.09763390569914411,72.81553398058253,0.3789704027747738,-0.021311872888863066,0.6195788832256082,0.09763390569914411,72.81553398058253,9.831555229554532e-9,0.9999976988258312,0,-0.31148901513311894,-0.327961618545039,0.983760731490757,0.9841699177086508
POSI3,103,-0.14459740117722153,0.3656392512904193,34.95145631067961,0.9774217802024686,0.7519985438370589,-0.14459740117722153,0.3656392512904193,34.95145631067961,2.5751576430696025e-6,0.9999985089895308,0,0.17378295710072422,0.20954036370529225,0.9757157168962765,0.9757680551604118
PPLA11,103,0.0048989467737052175,0.6629273776858147,22.330097087378643,0.25571112878008656,0.18641470831457774,0.0048989467737052175,0.6629273776858147,22.330097087378643,8.266391065486245e-9,0.9999973105913735,0,0.5112543747466031,0.5114461574151088,0.9650340466918006,0.9682750480429722
PRIO3,103,-0.42271367615941463,0.22205779414923624,35.92233009708738,0.6821949754462361,0.44996655104696615,-0.42271367615941463,0.22205779414923624,35.92233009708738,9.295578869458838e-9,0.999996215228975,0,-0.035203269371732675,-0.06760745926282613,0.9934011477313287,0.993403027848394
PRNR3,103,0.011065665462891507,0.327304296312508,22.330097087378643,0.2866423863584878,0.1956729525959327,0.011065665462891507,0.327304296312508,22.330097087378643,1.2014711049574834e-8,0.9999963432919452,0,-0.009038745656890107,-0.0196150815260151,0.9964611075298948,0.9964635252906733
PSSA3,103,-0.055888941833854074,0.566888702032598,9.70873786407767,0.04159359476712437,0.11686987366054193,-0.055888941833854074,0.566888702032598,9.70873786407767,7.3913352930505116e-9,0.9999962828503551,0,0.2210946351462697,0.2187718032334116,0.9836361395143761,0.9836666793759475
PTBL3,103,-0.03144971880850675,0.43391664931424373,23.300970873786408,-0.12451440083372256,-0.1300237347147286,-0.03144971880850675,0.43391664931424373,23.300970873786408,9.89356835605555e-9,0.9999981019595416,0,-0.3066759230509603,-0.2972252638054582,0.9984831930358123,0.9986323126158223
PTNT3,103,-0.01067652133195357,0.6113148676661744,9.70873786407767,0.7147566494307926,0.6622876854484325,-0.01067652133195357,0.6113148676661744,9.70873786407767,0.041714838993167816,0.8677430058134751,0,0.29303346551036097,0.2898037794168271,0.8749603120115431,0.8788487942085167
PTNT4,103,-0.06832166778374432,0.2614307144090508,30.097087378640776,0.44943087049460406,0.45710705160238196,-0.06832166778374432,0.2614307144090508,30.097087378640776,0.567362565964869,0.8372548922110975,0.9708737864077669,0.203609443910018,0.18550956711632544,0.8454251509721944,0.8352707690750664
