semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3
2025-10-31,8.038689613342285,7.991513252258301,76819365.0,5,0.00333092520250446,0.047138503133485825,MGLU3.SA,MGLU3
2025-11-07,7.8688578605651855,7.6801557540893555,83437830.0,5,0.010426874712135456,-0.039740307685101846,MGLU3.SA,MGLU3
2025-11-14,7.944338321685791,9.048243522644043,100682295.0,5,0.010379104548262215,0.1639308255447246,MGLU3.SA,MGLU3
2025-11-21,8.614230155944824,9.085983276367188,78170085.0,4,0.004976519787508347,0.004162273762943834,MGLU3.SA,MGLU3
2025-11-28,9.340730667114258,9.699263572692871,91242690.0,5,0.0025043507679329835,0.06531703554431313,MGLU3.SA,MGLU3
2025-12-05,9.755874633789062,9.916271209716797,150579030.0,5,0.016041295100092567,0.022127002230327708,MGLU3.SA,MGLU3
2025-12-12,9.944576263427734,9.31242561340332,118144425.0,5,0.005222486909205399,-0.06282736866531569,MGLU3.SA,MGLU3
2025-12-19,9.284119606018066,8.727449417114258,79670220.0,5,0.0026526098955346085,-0.06487643167578007,MGLU3.SA,MGLU3
2025-12-26,8.482137680053711,8.727449417114258,37220400.0,3,0.0019090125101420342,-1.196959198423997e-16,MGLU3.SA,MGLU3
2026-01-02,8.82180118560791,8.747735977172852,33773380.0,3,0.0002845023115720278,0.0023217572476469037,MGLU3.SA,MGLU3
2026-01-09,8.866618156433105,8.797270774841309,86185200.0,5,0.0023701821651583603,0.0056466127352876455,MGLU3.SA,MGLU3
2026-01-16,8.500065803527832,8.381183624267578,108001300.0,5,0.006448486372892278,-0.048452385692451055,MGLU3.SA,MGLU3
2026-01-23,8.28211498260498,9.282705307006836,97085300.0,5,0.004722205223711893,0.10216387599994846,MGLU3.SA,MGLU3
2026-01-30,9.381773948669434,9.698792457580566,103832400.0,5,0.003795379713704567,0.043848364384765026,MGLU3.SA,MGLU3
2026-02-06,9.738419532775879,10.104972839355469,107544900.0,5,0.00554706397414401,0.041026274159131425,MGLU3.SA,MGLU3
2026-02-13,10.867799758911133,10.134693145751953,101203500.0,5,0.016664814856714994,0.0029368397462573703,MGLU3.SA,MGLU3
2026-02-20,10.184226989746094,10.699382781982422,41994500.0,3,0.0012747749144383519,0.05422155312108383,MGLU3.SA,MGLU3
2026-02-27,10.273388862609863,9.26289176940918,85205000.0,5,0.007137890931289926,-0.14416976985697083,MGLU3.SA,MGLU3
2026-03-06,9.104381561279297,9.243078231811523,98543500.0,5,0.005914691133469722,-0.002141313875159489,MGLU3.SA,MGLU3
2026-03-13,9.43130874633789,9.252985000610352,103605700.0,5,0.008864915632089047,0.0010712300906094577,MGLU3.SA,MGLU3
2026-03-20,9.748327255249023,8.262301445007324,120105900.0,5,0.012971130405329327,-0.11324302820806544,MGLU3.SA,MGLU3
2021-02-05,8.213364601135254,8.672099113464355,95768400.0,4,0.0014022927073399933,0.054348216821262556,PETR3.SA,PETR3
2021-02-12,8.312711715698242,8.327319145202637,98888200.0,5,0.0027645759394585925,-0.04056930069589291,PETR3.SA,PETR3
2021-02-19,8.672099113464355,7.9182586669921875,109271200.0,3,0.008520469609348252,-0.05037025669807858,PETR3.SA,PETR3
2021-02-26,6.296622276306152,6.471932411193848,433316900.0,5,0.06255308740608632,-0.2016965799362357,PETR3.SA,PETR3
2021-03-05,6.431027889251709,6.44563627243042,240021500.0,5,0.003824550175966931,-0.004071381500887204,PETR3.SA,PETR3
2021-03-12,6.135920524597168,6.632637023925781,166640000.0,5,0.005433558842664657,0.02859911134846421,PETR3.SA,PETR3
2021-03-19,6.796261310577393,6.872230529785156,122230200.0,5,0.003194172532946786,0.035486264077768184,PETR3.SA,PETR3
2021-03-26,6.743666648864746,6.807947158813477,102566300.0,5,0.0014706332922699858,-0.009398100753207716,PETR3.SA,PETR3
2021-04-02,6.910213947296143,6.901449680328369,65787300.0,4,0.0006417468660232173,0.013640858524350126,PETR3.SA,PETR3
2021-04-09,6.974494457244873,6.866385459899902,94300000.0,5,0.0004950701900644736,-0.005093654286818731,PETR3.SA,PETR3
2021-04-16,6.936511993408203,6.842957496643066,111893000.0,5,0.0008059188318969753,-0.0034178131128730343,PETR3.SA,PETR3
2021-04-23,7.18737268447876,7.030270576477051,119706400.0,4,0.0030488832050934852,0.027005173177986674,PETR3.SA,PETR3
2021-04-30,7.039332866668701,6.978910446166992,98309100.0,5,0.002225636546433009,-0.007332385859935078,PETR3.SA,PETR3
2021-05-07,6.951722621917725,7.229668617248535,85924600.0,5,0.0037083786297944614,0.03530039266251817,PETR3.SA,PETR3
2021-05-14,7.320303440093994,7.746289253234863,94056200.0,5,0.0026711653659502476,0.06902072195204587,PETR3.SA,PETR3
2021-05-21,7.836924076080322,7.67982292175293,69541200.0,5,0.0006075809143798778,-0.008617432836490753,PETR3.SA,PETR3
2021-05-28,7.75837516784668,8.069555282592773,112780400.0,5,0.003734742881921508,0.049501883447636154,PETR3.SA,PETR3
2021-06-04,8.05142879486084,8.740255355834961,136746900.0,4,0.0029581304991636893,0.0798410328774157,PETR3.SA,PETR3
2021-06-11,8.676811218261719,8.852036476135254,150711900.0,5,0.0007164954477534563,0.012708136690899648,PETR3.SA,PETR3
2021-06-18,8.839953422546387,8.682854652404785,94912000.0,5,0.0010493087095700291,-0.01929719123706275,PETR3.SA,PETR3
2021-06-25,8.864124298095703,8.885271072387695,66652100.0,5,0.0009258197274309417,0.02304461852329404,PETR3.SA,PETR3
2021-07-02,8.84599494934082,9.072585105895996,93662000.0,5,0.0010108050209591591,0.020862270572930636,PETR3.SA,PETR3
2021-07-09,8.969864845275879,8.507623672485352,64784500.0,4,0.002010496435721951,-0.06429457654068806,PETR3.SA,PETR3
2021-07-16,8.595239639282227,8.208528518676758,63677100.0,5,0.0011088476194808384,-0.03578898713235097,PETR3.SA,PETR3
2021-07-23,8.111849784851074,8.278016090393066,56501200.0,5,0.0008424004522159027,0.008429660045928029,PETR3.SA,PETR3
2021-07-30,8.44417953491211,8.308226585388184,53941900.0,5,0.0014447965986185366,0.003642841720595341,PETR3.SA,PETR3
2021-08-06,8.229676246643066,8.794637680053711,125118800.0,5,0.010198282923898173,0.05689600241393802,PETR3.SA,PETR3
2021-08-13,8.713065147399902,9.039351463317871,71616300.0,5,0.0005962154171124223,0.027445249834293358,PETR3.SA,PETR3
2021-08-20,8.867144584655762,8.678521156311035,75698900.0,5,0.0006041185573123568,-0.0407362905870444,PETR3.SA,PETR3
2021-08-27,8.969404220581055,9.295448303222656,68837300.0,5,0.002188620055768976,0.06867371012823967,PETR3.SA,PETR3
2021-09-03,9.180374145507812,8.726469039916992,114397800.0,5,0.0012864336234012846,-0.06316402533554699,PETR3.SA,PETR3
2021-09-10,8.748845100402832,8.33329963684082,92031100.0,4,0.003357177988266528,-0.04610133264000509,PETR3.SA,PETR3
2021-09-17,8.592216491699219,8.151098251342773,74825100.0,5,0.0033796374914898527,-0.022106819672666148,PETR3.SA,PETR3
2021-09-24,8.06479263305664,8.809579849243164,72039500.0,5,0.0030355201722242257,0.0776870756599615,PETR3.SA,PETR3
2021-10-01,8.947027206420898,9.16758918762207,93591700.0,5,0.0008879168284548337,0.03983460099025795,PETR3.SA,PETR3
2021-10-08,9.391345977783203,9.522400856018066,79063200.0,5,0.0018716639539778338,0.037972658176363375,PETR3.SA,PETR3
2021-10-15,9.516008377075195,9.640670776367188,58270200.0,4,0.00032345997042930094,0.012343681045670454,PETR3.SA,PETR3
2021-10-22,9.653457641601562,8.918258666992188,136250800.0,5,0.004133437578230942,-0.07788997798265584,PETR3.SA,PETR3
2021-10-29,9.464862823486328,8.84473991394043,123913700.0,5,0.008264954041375762,-0.008277788518566545,PETR3.SA,PETR3
2021-11-05,9.173982620239258,8.53148365020752,87645800.0,4,0.004118439694992076,-0.03605964273086562,PETR3.SA,PETR3
2021-11-12,8.672128677368164,8.892688751220703,72847700.0,5,0.0009025761264360662,0.04146617092420608,PETR3.SA,PETR3
2021-11-19,9.026942253112793,8.69130802154541,61854500.0,4,0.0009599270355817224,-0.0229060022383367,PETR3.SA,PETR3
2021-11-26,8.771222114562988,9.324216842651367,129344500.0,5,0.006193461564155022,0.07029152903451819,PETR3.SA,PETR3
2021-12-03,9.640670776367188,10.76481819152832,161886800.0,5,0.008822565580015648,0.14366826452287484,PETR3.SA,PETR3
2021-12-10,10.865052223205566,11.273165702819824,98876400.0,5,0.0010154917832308416,0.04614194321885923,PETR3.SA,PETR3
2021-12-17,11.262425422668457,11.022568702697754,102782100.0,5,0.0012395699624759607,-0.02248031386132525,PETR3.SA,PETR3
2021-12-24,10.811355590820312,10.897273063659668,55543400.0,4,0.0004640548977909392,-0.011432290891561335,PETR3.SA,PETR3
2021-12-31,11.112068176269531,10.990351676940918,71564050.0,4,0.00045977523307909785,0.008505187335649905,PETR3.SA,PETR3
2022-01-07,11.283903121948242,11.036890983581543,109550400.0,5,0.00267721669363677,0.004225619757116949,PETR3.SA,PETR3
2022-01-14,10.997509002685547,12.372198104858398,134284400.0,5,0.0037193728492668473,0.11420847966750011,PETR3.SA,PETR3
2022-01-21,12.332818984985352,12.382936477661133,76151700.0,5,0.00016181087128661748,0.0008675673679316735,PETR3.SA,PETR3
2022-01-28,12.4044189453125,12.848329544067383,120136300.0,5,0.0028304410513123723,0.03689437190256348,PETR3.SA,PETR3
2022-02-04,12.626374244689941,12.855485916137695,95429100.0,5,0.00190250443686978,0.0005568334604877309,PETR3.SA,PETR3
2022-02-11,12.701549530029297,13.31729793548584,87096600.0,5,0.002577163327745869,0.03529314705678076,PETR3.SA,PETR3
2022-02-18,12.973624229431152,12.841168403625488,70457800.0,5,0.0016564296770407178,-0.03640749554866113,PETR3.SA,PETR3
2022-02-25,13.188417434692383,13.020162582397461,91241700.0,5,0.0015413430740713206,0.013842832540842837,PETR3.SA,PETR3
2022-03-04,13.431855201721191,13.23495864868164,49751100.0,3,0.0010789461403863086,0.016362587453160438,PETR3.SA,PETR3
2022-03-11,12.221840858459473,12.46169662475586,138902800.0,5,0.00792711810895288,-0.06020204148257999,PETR3.SA,PETR3
2022-03-18,12.304181098937988,11.871009826660156,127958500.0,5,0.0013068324312435823,-0.04856039094222974,PETR3.SA,PETR3
2022-03-25,12.268381118774414,12.529714584350586,68211400.0,5,0.0015088892131510149,0.05400371120707651,PETR3.SA,PETR3
2022-04-01,12.200361251831055,12.612054824829102,81559000.0,5,0.0011805104183068755,0.006550098645055745,PETR3.SA,PETR3
2022-04-08,12.483179092407227,13.277917861938477,72199200.0,5,0.0026227910389188557,0.05144925554096562,PETR3.SA,PETR3
2022-04-15,13.102503776550293,13.509086608886719,76601600.0,4,0.0007939628621202776,0.01726019691474101,PETR3.SA,PETR3
2022-04-22,13.264175415039062,12.972609519958496,61560200.0,4,0.003379142514633283,-0.04052236647056427,PETR3.SA,PETR3
2022-04-29,12.883196830749512,12.999823570251465,58292000.0,5,0.00011121898081585208,0.0020956111549386798,PETR3.SA,PETR3
2022-05-06,12.766571998596191,13.874510765075684,90001600.0,5,0.0039194715315242976,0.06511761298579363,PETR3.SA,PETR3
