ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct_m2,delta_medio,delta_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3
HAGA4,103,9.5380679044519945e-09,0.999999267899005,0,9.630864929126049e-9,0.9999998734531106,0,0.9954109914691801,0.9846382898023761,0.9905370689911845
HAPV3,103,9.751333926132053e-9,0.9999999971990714,0,8.260577378755707e-9,0.9999999931016175,0,0.9730092114872104,0.9732385849913785,0.9732381836971901
HBOR3,103,9.72436539844901e-9,0.9999999969799256,0,9.319726397984735e-9,0.9999999896870174,0,0.9812593331398313,0.9830491946970374,0.9827259457611548
HBRE3,103,1.0698601576997397e-8,0.9999992605355935,0,1.1951702075439973e-8,0.9999948439402213,0,0.9965131575420061,0.99753469472491,0.9972744717068387
HBSA3,103,9.59768680550593e-9,0.9999991721535548,0,0.01978586023278156,0.980639223295824,1.9417475728155338,0.9962001420085802,0.9959660426470167,0.9958157766619248
HBTS5,103,1.0083098695746305e-8,0.9999999923546298,0,9.711721720376804e-9,0.9999999907151357,0,0.9838371704550829,0.9837173394268744,0.9836766760933957
HETA4,103,2.8629012648395276e-9,0.999999999791259,0,1.7205755722439073,0.4563106479992591,54.36893203883495,0.9227865699751197,0.9227516023058999,0.9220123962602149
HOOT4,103,2.5800563997057067,0.9064504571539139,5.825242718446602,0.2464638628768945,0.9230140430308408,1.9417475728155338,0.9539951121600957,0.8325685318492898,0.8706362356406813
HYPE3,103,1.032711502081266e-8,0.9999999890480574,0,2.8780136584067066e-8,0.9999994551052931,0,0.993759085393757,0.9945488656470913,0.994364673520459
INEP3,103,8.78356333701408e-9,0.999999994214225,0,0.1096051452003277,0.9355723959844676,3.8834951456310676,0.9611065013892915,0.9532946024112707,0.9418075878334665
INEP4,103,1.3195493933180597e-8,0.999999973566522,0,0.014586128029681834,0.9904291482296792,0.9708737864077669,0.97378102930981425,0.9736000264062046,0.9744942009371131
IRBR3,103,1.023476321532107e-8,0.999999989565156,0,1.2281201333836401e-8,0.9999998606252993,0,0.9897271548186025,0.9906058563080615,0.990596787834316
ISAE3,103,0.07027744021219089,0.773609750543381,0,2.461186036887702e-9,0.9999999940471911,0,0.8657854517233793,0.8716143473287418,0.8530646198426937
ISAE4,103,9.449322537647972e-9,0.9999965993026874,0,4.397059670702188e-9,0.9999989161327197,0,0.8726679039235047,0.9069370770975692,0.9070834661894066
ITSA3,103,9.141704838123223e-9,0.9999998985524952,0,4.105609996966197e-9,0.9999989861145666,0,0.9827941001704225,0.9857937542328131,0.9830926053679035
ITSA4,103,3.1001868913008745e-9,0.9999999966135553,0,1.2866477949025801e-9,0.9999999829032908,0,0.9055514182682924,0.9059051828228171,0.905246242922211
ITUB3,103,8.4278277352208e-9,0.9999999213339759,0,6.538402082112573e-9,0.9999996581620458,0,0.9755443416064582,0.9756445457683999,0.9756439179672575
ITUB4,103,7.388436594664744e-9,0.9999999553921329,0,2.4907371908604293e-9,0.9999999365071106,0,0.9663409783577974,0.9664517204115252,0.9664520489377338
JFEN3,103,0.43090588688378045,0.9537239016793465,0,1.175888690318368,0.5960568541149839,21.35922330097087,0.7331607730259013,0.7241541505375254,0.7464229258806938
JHSF3,103,9.690409601923987e-9,0.9999998963025623,0,8.147538649427559e-9,0.9999982561276314,0,0.9975083584235274,0.9975430743448296,0.9975430515163365
