ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4,svi_zeros_pct
CTKA4,103,0.0099,0.3187,2.9126,0.4862,0.4401,0.0099,0.3187,2.9126,1.2905,0.6789,0.0,0.4311,0.4315,0.8166,0.773,0.9888
CTSA3,103,0.0035,0.3863,34.9515,-0.2643,-0.7512,0.0035,0.3863,34.9515,0.0,1.0,0.0,0.3312,0.6729,0.9924,0.9772,0.9104
CTSA4,103,-0.0549,0.0184,81.5534,0.8713,1.1611,-0.0549,0.0184,81.5534,0.0,1.0,0.0,0.2623,0.4527,0.9636,0.9157,0.9216
CURY3,103,0.0025,0.3859,36.8932,0.4091,0.3365,0.0025,0.3859,36.8932,0.0062,0.9796,0.0,-0.0078,0.0446,0.9789,0.9771,0.1231
CVCB3,103,1.1772,0.0123,96.1165,0.1636,0.0221,1.1772,0.0123,96.1165,29.6038,0.6102,35.9223,0.2071,0.124,0.6799,0.5457,0.0
CYRE3,103,-0.4916,0.1571,56.3107,0.1805,0.1694,-0.4916,0.1571,56.3107,0.0,1.0,0.0,-0.0013,-0.0676,0.9938,0.9938,0.0
DASA3,103,0.0833,0.2174,19.4175,0.8358,0.854,0.0833,0.2174,19.4175,0.3357,0.9759,0.0,0.3264,0.2726,0.8868,0.8857,0.1343
DEXP3,103,-0.0317,0.2894,19.4175,0.2615,0.3508,-0.0317,0.2894,19.4175,0.0033,0.9945,0.0,0.4425,0.4372,0.9453,0.9455,0.1978
DEXP4,103,-0.3748,0.6756,26.2136,0.3527,0.3698,-0.3748,0.6756,26.2136,0.0,1.0,0.0,0.2626,0.2537,0.9766,0.9766,0.9925
DIRR3,103,0.1132,0.3221,26.2136,0.3697,0.2122,0.1132,0.3221,26.2136,0.0,1.0,0.0,0.0023,0.0259,0.996,0.9962,0.0075
