semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3,svi_zeros_pct,svi,svi_diff,svi_log_dev,svi_exp_dev
2024-12-06,7.987623691558838,7.854496002197266,1934130.0,5,0.0010420079028947,-0.0355198071226024,TASA4.SA,TASA4,0.0,23,8.0,0.06453852113757153,1.066666666666667
2024-12-13,7.730244159698486,7.987623691558838,2261160.0,5,0.0025276757401772,0.0168071982496532,TASA4.SA,TASA4,0.0,24,1.0,0.061875403718087085,1.063829787234042
2024-12-20,7.685868740081787,7.375238418579102,1813680.0,5,0.0048428623623046,-0.0797650755786451,TASA4.SA,TASA4,0.0,21,-3.0,-0.10763066419236544,0.8979591836734694
2024-12-27,7.508366107940674,7.313113212585449,1170620.0,3,0.0011498803878198,-0.0084591624728539,TASA4.SA,TASA4,0.0,19,-2.0,-0.20294084399669066,0.8163265306122446
2025-01-03,7.321988582611084,7.188860893249512,911020.0,3,0.0007091091974534,-0.0171363373033273,TASA4.SA,TASA4,0.0,18,-1.0,-0.21256144198367322,0.8085106382978721
2025-01-10,7.614867687225342,7.366363525390625,1012330.0,5,0.0041789105037309,0.0243914387393395,TASA4.SA,TASA4,0.0,13,-5.0,-0.4744579795951158,0.6222222222222222
2025-01-17,7.100109577178955,7.224361896514893,1288760.0,5,0.0064187078431004,-0.0194652573327428,TASA4.SA,TASA4,0.0,18,5.0,-0.10008345855698275,0.9047619047619045
2025-01-24,7.233236312866211,7.082359313964844,1374780.0,5,0.000355867471818,-0.0198518226462794,TASA4.SA,TASA4,0.0,18,0.0,-0.02597548640326064,0.9743589743589743
2025-01-31,7.153359889984131,7.153359889984131,1199770.0,5,0.0002516727527181,0.0099750723832718,TASA4.SA,TASA4,0.0,18,0.0,-0.02597548640326064,0.9743589743589743
2025-02-07,7.1711106300354,7.179986000061035,1419330.0,5,0.0056345450737136,0.0037152721923248,TASA4.SA,TASA4,0.0,18,0.0,0.0,1.0
2025-02-14,7.224361896514893,7.614867687225342,1169080.0,5,0.0020939043801765,0.058805177707872,TASA4.SA,TASA4,0.0,14,-4.0,-0.2363887780642302,0.7894736842105264
2025-02-21,7.676993370056152,7.126735210418701,1147960.0,5,0.002288209563932,-0.0662493761054262,TASA4.SA,TASA4,0.0,14,0.0,-0.2363887780642302,0.7894736842105264
2025-02-28,7.100109577178955,7.091234683990479,957220.0,5,0.0002938669122293,-0.0049937649983689,TASA4.SA,TASA4,0.0,17,3.0,-0.054067221270275745,0.9473684210526316
2025-03-07,7.055733680725098,7.242111206054687,540540.0,3,0.0004566387059669,0.0210532971258622,TASA4.SA,TASA4,0.0,10,-7.0,-0.5198754592859083,0.5945945945945947
2025-03-14,7.162235260009766,7.1711106300354,1017280.0,5,0.0004669104037298,-0.0098522247335936,TASA4.SA,TASA4,0.0,16,6.0,-0.08455738802806279,0.9189189189189192
2025-03-21,7.428488731384277,7.108984470367432,1296790.0,5,0.0038495116598786,-0.0087011397604982,TASA4.SA,TASA4,0.0,15,-1.0,-0.08961215868968742,0.914285714285714
2025-03-28,7.153359889984131,7.330862522125244,1123430.0,5,0.0005122380247044,0.0307337766739861,TASA4.SA,TASA4,0.0,20,5.0,0.24116205681688818,1.272727272727273
2025-04-04,7.224361896514893,7.463989734649658,1492260.0,5,0.0010331878614882,0.0179969091133647,TASA4.SA,TASA4,0.0,19,-1.0,0.19237189264745602,1.2121212121212122
