ticker_b3,semana,rv,rv_pred_m0,rv_pred_m1,omega,alpha,beta,leverage_m1,status_m1,rv_pred_m2,alpha_m2,beta_m2,leverage_m2,gamma,gamma_pval,status_m2,rv_pred_m3,omega_m3,alpha_m3,beta_m3,status_m3,rv_pred_m4,alpha_m4,beta_m4,delta_m4,delta_pval_m4,status_m4
RAPT3,2024-05-17,2.140110830269e-4,0.0016554881883563,0.0013538042331426054,4.795803778676353,-0.05087399087191289,-0.8098672306296797,-0.08645582159034727,ok,0.0019161081993425543,-0.12367598917745835,-0.14031387506891002,0.07968935999605622,-0.008379254589074925,0.17707529215314444,ok,0.0014843133110804257,0.5317091186750514,1.9424220886420478e-9,0.9641821419957101,ok,0.0014843366083953189,2.4154594384305584e-12,0.9642058761953028,7.461943422862678e-9,0.9999996840863956,ok
RAPT3,2024-05-24,9.477884726866e-4,2.140110830269e-4,0.0015575365554632112,4.806908746100042,-0.04829131823423834,-0.8096768568370197,-0.0911692238636613,ok,0.001358382629485068,-0.056963237905853316,0.018527368288016068,0.05696727398017133,-1.057599342314632,0,ok,0.0014763975451007444,0.596936911702217,6.032162005105898e-14,0.9595699121151062,ok,0.0014764423656587636,8.601478738125424e-12,0.9598488915339667,7.265876211198488e-9,0.9999997059652108,ok
RAPT3,2024-05-31,0.0016326292990418,9.477884726866e-4,0.0015521249792989815,2.6960041031835784,-0.07546049763503325,-0.009006390247450844,0.008209953244277238,ok,0.0016451877936622082,-0.10742940225910177,-0.2507564453878505,0.016562913610868854,-0.005899885757169595,0.3767940231205684,ok,0.001475506256483015,0.6227734160535389,6.802322804336987e-10,0.9577937398098602,ok,0.00147548404531289,1.4186566839825897e-13,0.9575283727500833,9.131929000001637e-9,0.9999996518975725,ok
RAPT3,2024-06-07,0.0024402306420508,0.0016326292990418,0.0022590446993983504,0.22984824101939097,-0.2210431817117998,0.8989043474103293,-0.5004684946898702,ok,0.0015827668418411755,-0.10535169979225391,-0.25897364969770575,0.011298941934942196,-0.00576375353972317,0.3910041179220278,ok,0.0014463643804303275,0.014554302460431412,2.273118786922658e-9,0.9989842329102077,ok,0.001447549413435445,1.6560540451686663e-8,0.9981608262406038,7.015699816477592e-9,0.9999996433364511,ok
RAPT3,2024-06-14,5.479728453198e-4,0.0024402306420508,0.001417872359946744,4.8074007053080265,-0.0478357041525999,-0.8180058399602782,-0.09241271825977773,ok,0.0014849319557214762,-0.0985964096976944,-0.3652396383480622,-0.01333698333994332,-0.00464115526283077,0.5975157105109608,ok,0.0014246273385014063,0.01335858390815575,1.7660211669973953e-9,0.9989974279888278,ok,0.0014219613319300436,3.7361037887393235e-9,0.9999159123004853,4.264475298986225e-9,0.9999998098904734,ok
RAPT3,2024-06-21,0.0046012697403977,5.479728453198e-4,0.001509973324970289,4.861925353672038,-0.05081935837017607,-0.8205752587814049,-0.09503252706910045,ok,0.0018694023983249568,-0.17182901940720208,0.8829766461509159,-0.46293323006615456,0.004571458909733676,0,ok,0.0014053883467133287,0.012012415277723178,2.8798676539316096e-8,0.9989979553372279,ok,0.0014026719824370795,6.857534316777528e-11,0.9998289725786615,2.6526457462626725e-9,0.9999979803261847,ok
RAPT3,2024-06-28,0.0024914568795831,0.0046012697403977,0.0010684730048910827,4.874087302399581,-0.05718957670205009,-0.8240661066612026,-0.0909574869026893,ok,0.0011177570411742691,-0.03591863454600149,-0.882322458915357,-0.07380838484588435,0.0019749727113331206,0.5237527689817614,ok,0.0015064211400955048,0.5653731793592229,2.408283100415818e-14,0.9624701393831016,ok,0.0015064280151800928,3.850716594530427e-11,0.9622547792738931,6.452762435729113e-9,0.9999997721096594,ok
RAPT3,2024-07-05,0.002200276890157,0.0024914568795831,0.001537362082595768,5.062225364954223,-0.03497543725077998,-0.8434416741559247,-0.06900912205131374,ok,0.001617211421348705,-0.0035108942059821307,-0.9121262229642265,-0.03296966721500204,0.003510965286438252,0.2247456360598219,ok,0.0015757995046618968,0.01828936092265014,2.58467076973024e-9,0.9989988589831946,ok,0.0015786011213599334,1.4228404925945015e-8,0.9999982803298705,7.348379461338533e-9,0.9999996137647571,ok
RAPT3,2024-07-12,0.0017080814641434,0.002200276890157,7.827959056830495e-4,0.1789686764624593,-0.17524325247236167,0.9277885268668254,-0.3291075659196127,ok,0.0018470618067924541,-0.038005385602852985,0.13219331741299298,0.1921296884133296,-0.005308879636911785,0.5784897261536133,ok,0.0016339582562457484,0.020083685992014797,4.114686923261785e-11,0.9989996290031283,ok,0.0016387231225422332,1.409719947993762e-8,0.9999992867619737,7.778152341562424e-9,0.9999996279288177,ok
RAPT3,2024-07-19,0.002052831501404,0.0017080814641434,3.005612045621782e-4,0.2116241198691266,-0.1307582298870939,0.9076026624736209,-0.40587741545172307,ok,0.0015526743573442581,-0.03998388373544599,0.09170775891442595,0.18893987847131624,-0.005624576815969822,0.48547834245160937,ok,0.0016334253500200535,0.021355245136962738,2.37637649710302e-9,0.9989995843424766,ok,0.0016380826873769244,9.139081880579253e-9,0.999999625790051,6.776715401965025e-9,0.999999671395212,ok
